The computer was hard because we could not make the arrow to go where it needed to go.,Negative,1
The computer was hard because can;t really control the screen that well; it gets big or it gets too small,Negative,1
The touch screen was hard because controlling tge screen; it;s hard to get it to do what you want it to do,Negative,1
I feel rushed because because the doctor is always going to see the next patient. i am worried about the next patient; i dont know why,Negative,1
I feel rushed because i felt i could take all the time i wanted,Negative,1
it gives me a chance to report things i don;t usually think of like when i colored in the place where i have painand how intense that is,Positive,3
The computer was hard because first time user,Neutral,2
I feel rushed because i think this way is less rushed. the patient has an opportunity to document their pain immediately. also it is more accurate; the data can be recorded at exact intervals,Negative,1
thorough,Neutral,2
should be a tool to aid in diagnosis; particully prior to office visit or if patient does not feel well enough to travel for an office visit.,Negative,1
The computer was hard because the pointer was difficult to use with the programe.,Negative,1
I feel rushed because i thought it was easier way to communicate.,Negative,1
none,Neutral,2
soetimes it was hard to concentrate and answers some of the pain questions.,Negative,1
The computer was hard because glare,Neutral,2
Seeing the words was hard because glare,Neutral,2
The computer was hard because no experince,Negative,1
The computer was hard because too time consuming;,Negative,1
I feel rushed because computer assist by daughter and caregiver and hospice research assistant,Negative,1
difficult for pt. assistance needed from cargiver  questions for caregiver should specify family or employed,Negative,1
The computer was hard because thecway it kept going on and off,Negative,1
The touch screen was hard because couldn't get it to work,Negative,1
I feel rushed because it wasent hard and i think its works out fine for us both,Negative,1
its a good way of sharing information about my pain.,Neutral,2
its a good way to share information that you may not be able to talk about to anoher person such as  nurse or doctor,Positive,3
The computer was hard because Right questions sometime.,Negative,1
The touch screen was hard because Freezing,Neutral,2
Some technical issues to the programe.,Neutral,2
The computer was hard because Computer has a tendency to lock up . Sometime I have to start all over.,Negative,1
none,Neutral,2
The computer was hard because too many questions to answer,Negative,1
depressing for me,Negative,1
The computer was hard because i never used one before,Negative,1
Have patiants write down user & password on a piece of paper; so that they dont forget it.  Have auto correct for spelling.,Negative,1
The computer was hard because the entire program.,Neutral,2
The computer was hard because clarity of options  information requested  frequent lock up  not able to add or change the pain diagram screen and description,Negative,1
s,Neutral,2
The instructions were hard because type or level of information requested,Neutral,2
I feel rushed because because you have to type it out,Negative,1
The computer was hard because sometime it pickeced up the wrong words.,Negative,1
The computer was hard because freeze ups,Neutral,2
The instructions were hard because pain reporting was tough because it is impossible to report all pain areas because of bone mets; just reporrted most recent,Negative,1
The touch screen was hard because don't like touch screens,Negative,1
more accurate location where i have pain in the pain assesment body image.,Neutral,2
The computer was hard because never used a computer,Negative,1
The computer was hard because the internet connection,Neutral,2
its hard for people that suffering pain to be completing the program.,Negative,1
the programe is good but a lot of times it freezes.,Positive,3
The computer was hard because everything,Neutral,2
The computer was hard because i dont usually dont work on computers so it was very very hard at times,Negative,1
The instructions were hard because symbols and keyboard internet conection,Neutral,2
i think it isagreat way for patients.,Neutral,2
it was hard for me at times when i m in pain and could not finish.,Negative,1
The computer was hard because hard to hold it up; hard to use the stylus,Negative,1
too long and too many stupid questions- they don't make any sense to me- the questions are the same,Very negative,0
very good,Positive,3
The instructions were hard because none,Neutral,2
The touch screen was hard because none,Neutral,2
none,Neutral,2
no,Negative,1
I feel rushed because this program is good,Negative,1
sometimes i forgetv to tell the doctor or nuse but with the computer they will know when i go there,Negative,1
The computer was hard because Unfamiliar with tablet useage.,Negative,1
Seeing the words was hard because Print too small.,Negative,1
The computer was hard because changing screen size,Neutral,2
 removing keyboard.,Neutral,2
The computer was hard because when in pain cant answer questions,Negative,1
The computer was hard because it was difficult at times whem i m in pain.,Negative,1
it was a good way of reporting my pain at times.,Negative,1
The computer was hard because It didn't respond to my touch,Negative,1
The touch screen was hard because It didn't respond to my touch,Positive,3
I feel rushed because I could take my time,Negative,1
not So much redundancy and questions,Negative,1
I feel rushed because you don't forget anything this way so thst's good,Negative,1
well; in some ways it was annoying -,Positive,3
The computer was hard because does not always respond  needed more written instructions,Negative,1
The instructions were hard because could use more instructions,Negative,1
I feel rushed because too many questions,Negative,1
I feel rushed because can be more specific with own words and communicating with medical person,Negative,1
none,Neutral,2
omputer stalled a lot  put next on same page   more written instructions,Neutral,2
The computer was hard because hard to turn on and log on; answering questions was was hard,Negative,1
The touch screen was hard because fairly decent; could have been better,Positive,3
The touch screen was hard because sometimes yes; sometimes no,Neutral,2
I feel rushed because it's a little different when you're pushing button you see; a computer is less personal than talking to s person,Negative,1
not everybody knows how to use a computer; youneed to have someone to sit and take down the answers,Negative,1
no,Negative,1
The computer was hard because some questions wording  confusing,Negative,1
 length too long,Neutral,2
 requires too much concentration      n,Negative,1
ability to talk and read questions,Positive,3
The computer was hard because at first the typing was hard but i got used to it; the place where you gotta write down what medcine you take,Negative,1
I feel rushed because this way i feel more comfortable,Negative,1
do more research about cancer,Neutral,2
none,Neutral,2
multiple languages offererd,Neutral,2
The computer was hard because not using as much,Neutral,2
its easier to talk to the person instead the computer.,Neutral,2
The touch screen was hard because the nurse had to enter my answers,Neutral,2
I feel rushed because a lot of questions,Negative,1
The computer was hard because too sleepy to hold up computer,Negative,1
The computer was hard because none,Neutral,2
none,Neutral,2
The computer was hard because none,Neutral,2
none,Neutral,2
none,Neutral,2
The computer was hard because the touching of the screen; connection problem.,Negative,1
The touch screen was hard because hit it too many times to make it work,Positive,3
no comments,Neutral,2
none,Neutral,2
The computer was hard because no,Neutral,2
none,Neutral,2
The computer was hard because patient was too sick to use the tablet - a friend helped her,Neutral,2
none,Neutral,2
The instructions were hard because i didn't know some of the words for talking about the pain,Neutral,2
I feel rushed because i felt comfortable,Negative,1
it'll help a whole lot of people,Positive,3
The computer was hard because Dont know yet,Neutral,2
None,Neutral,2
The computer was hard because no experience with tablet,Negative,1
none,Neutral,2
The computer was hard because none,Neutral,2
none,Neutral,2
The computer was hard because all the typing,Neutral,2
The computer was hard because this subject was unable to use the computer on his own,Negative,1
The instructions were hard because so so; some of the questions,Neutral,2
Seeing the words was hard because too small,Negative,1
no,Negative,1
none,Neutral,2
I feel rushed because i get to take my time and tell how im feeling,Negative,1
i think that a sometimes or ocasionally button should be added.,Neutral,2
The computer was hard because it was hard to color the picture in,Negative,1
The computer was hard because research nurse had to enter the information,Neutral,2
The touch screen was hard because the screen moved,Positive,3
no,Negative,1
The computer was hard because the keyboard was very   Sensitive,Negative,1
The color could be better if ;red,Neutral,2
I feel rushed because sometimes i dont; feel like they are really listening,Negative,1
The computer freezes alot and you just dontknow where to go next; i also think with older  adults the touch screen is really sensitive.,Negative,1
The computer was hard because Never used a computer,Negative,1
I feel rushed because I just dont. Cant really explain,Very negative,0
None,Neutral,2
Well in my case my wife types it all in I just answer questions.  She also knows more about my medication and when to take it. I the patient do not have any knowledge on computers. She said it was ok,Negative,1
The computer was hard because never used a  computer,Negative,1
none,Neutral,2
The instructions were hard because instrcts not always clear,Negative,1
The instructions were hard because instuctions not clear,Negative,1
The computer was hard because Lack of knowledge,Neutral,2
I would think this is the best avenue for communication if the person is goodcat the computer,Neutral,2
The scale of 0 to 10 could be better. 5 is nit a moderate number,Negative,1
The computer was hard because the entries had to be hit 2 or 3 times to register. You could not leave in middle of answering and return to complete survey,Negative,1
The touch screen was hard because use cursor,Neutral,2
The touch screen was hard because it changed directions from vert to horiz,Neutral,2
I feel rushed because if ran out of time w computer could not always come back,Negative,1
yes the survey is good for research but needs to be shorter for practice,Neutral,2
it should be used prior to medical appointments and when pain orpain meds need changing,Neutral,2
The computer was hard because Because I can't use my hands that will they shake too hard,Negative,1
The touch screen was hard because I didn't use it someone else did it for me,Negative,1
I feel rushed because No it's about the same as telling the doctor,Negative,1
Right now I don't have any,Neutral,2
great i loved it,Very positive,4
The computer was hard because some questions are followedby a second question that shoild be ignored as first answer covers requirement.,Negative,1
I feel rushed because this method allwoed time to consider the questions and yet provide space to explain.,Negative,1
its a good thing for the  future folks.,Positive,3
The computer was hard because couldn;t hold tge computer,Negative,1
The instructions were hard because i forgot,Negative,1
The touch screen was hard because did not use tge touch screen,Negative,1
The computer was hard because Subject was very sleepy; requiring complete assistance,Negative,1
Seeing the words was hard because I needed glasses,Neutral,2
Pay more-,Neutral,2
The computer was hard because never used a computer,Negative,1
The computer was hard because my vision,Neutral,2
The instructions were hard because some words were hard to understand,Negative,1
The instructions were hard because vision,Neutral,2
larger print,Neutral,2
The computer was hard because the internet connection was bad;,Negative,1
none,Neutral,2
completing the program each day was a total nuisance,Negative,1
The computer was hard because Hard part was to do or say what i wanted to say like where the circle needed to be drawn on the picture.,Neutral,2
The touch screen was hard because Freeze,Neutral,2
Very effective,Positive,3
It was difficult at times to use this computer.,Negative,1
The computer was hard because i have a hard time seeing,Negative,1
I feel rushed because able to take my time,Negative,1
it was easy,Neutral,2
The computer was hard because it was hard to understandvthe wording and it didn't want to react to my answers,Negative,1
The touch screen was hard because not responsive to my touch,Negative,1
I feel rushed because i feel comfortable answering the questions with the research nurse,Negative,1
no,Negative,1
i think the program is excellent,Positive,3
The computer was hard because Frustrating;  annoying,Negative,1
The computer was hard because hard to see it,Negative,1
The computer was hard because patient didn't feel up to it,Negative,1
no color,Neutral,2
The touch screen was hard because i was eating lunch so i didn't,Neutral,2
no,Negative,1
The computer was hard because The medication section of it was very difficult for me and my lack of concentration since the sickness is made it worse,Negative,1
The color could be better if The color should have been different then the colors on the answer spot,Neutral,2
The instructions were hard because The medication part of it was really difficult for me,Negative,1
I feel rushed because I went up my own pace.,Negative,1
I think it's easier because I am allowed to put in my own words,Negative,1
The medication part in the colors on the program,Neutral,2
The touch screen was hard because troble with the screen,Negative,1
The touch screen was hard because Senssitivy was an issue had to tap numerous times before it worked,Neutral,2
N/a,Neutral,2
The computer was hard because Not used to it,Negative,1
The computer was hard because i was confused sometimes so i had to ask for help,Negative,1
I feel rushed because i wanted to get it over with,Negative,1
none,Neutral,2
more practice withbthe questiins,Neutral,2
The computer was hard because i am not computer literate so i had to have alot of help to complete the survey.  Also;my hands are swollen so it is hard to hold a pen or even use my fingers,Negative,1
I feel rushed because i really did not feel very rushed but feel more comfortable using the phone and talking directly to the nurse,Negative,1
I think some patients will benefit if they have a caretaker to help or they are still able to function fairly normally,Neutral,2
The instructions were hard because never use computer,Negative,1
The computer was hard because the keyboard,Neutral,2
no,Negative,1
The computer was hard because unable to work the comouter,Negative,1
The touch screen was hard because i don't have much experience,Neutral,2
no,Negative,1
no,Negative,1
The computer was hard because too many questions  redundancy,Negative,1
I feel rushed because its harder to talk,Negative,1
save the pain information; words; and medications.  it was really a hassle to type the same thing everday,Neutral,2
The computer was hard because Not really hard,Negative,1
The computer was hard because never used a computer,Negative,1
none,Neutral,2
no,Negative,1
The computer was hard because none,Neutral,2
none,Neutral,2
The computer was hard because The ability to how to use the computer,Neutral,2
The computer was hard because computer would freeze..,Negative,1
none,Neutral,2
needs more choices on some questions,Negative,1
The computer was hard because the subject used the tablet for identiying the location of the pain but was too weak to use it to answer the questions,Negative,1
The computer was hard because i couldn't do it; my daughter helped; i drew on the picture,Negative,1
I feel rushed because i think with the tablet it's a little better,Negative,1
ask howcdoes it feel when the nausea comes on,Neutral,2
The computer was hard because i haven't been up to concentrating,Neutral,2
i would like to see the results of this for other people and how they did with it,Neutral,2
No just dont make it hard make it simple simple you can that's all,Neutral,2
None,Neutral,2
The computer was hard because I am computer illiterate,Negative,1
The computer was hard because clicking answers; staying awake,Negative,1
The touch screen was hard because clicking options,Neutral,2
The computer was hard because The tablet computer was fairly easy to use but I'm not a computer person I don't have a computer so it was a little bit more difficult for someone like me but it was relatively easy for somebody that knows computers,Negative,1
Well I feel like this program is a good program for people who are my condition because if anything to help the pain in to get you buy is a good thing otherwise that's about all I have to say about it Ida can't hurt anything to try to do this program you can only help so I would recommend it thus far.,Negative,1
Well I think it was the whole computer well setup just found out it's a computer person but come I think ill program the ways it was set upis fine.,Negative,1
The touch screen was hard because The screen does not work all the time,Negative,1
When using computer it becomes too confusing for me to use.,Negative,1
The computer was hard because stylus was sometimes erratic; screen would sometimes enlarge for no reason; screen would occasionally freeze,Negative,1
The touch screen was hard because the stylus behaved erratically at times,Neutral,2
I feel rushed because there is no time constraint,Negative,1
I feel rushed because can take more time and think about it more without any time pressure,Negative,1
i would rather talk to my nurse about my pain than to the computer because i m always in bed and do not use the computer and cant use the tablet even when  i am trained;its just hard to do in my situation.,Negative,1
none,Neutral,2
The computer was hard because Maneuvering the screen,Neutral,2
The computer was hard because Screencap moving even when I wasn't touching it log me out and totally said that I haven't done anything on it and there's like no reception only two bars most of the time,Negative,1
The instructions were hard because Using medical terms that I didn't understand and some of the words with the choices didn't make sense to,Negative,1
The touch screen was hard because Learning how to maneuver,Neutral,2
The touch screen was hard because The screen cap moving even when I wasn't touching it would enlarge or get smaller or move off the screen,Negative,1
I feel rushed because I feel like the same either way,Negative,1
Used terms that are not clinical the people understand,Neutral,2
The touch screen was hard because o,Neutral,2
I feel rushed because On this question here if I feel rushed it doesn't matter it seems to me that the doctors that I see are usually on the computer anyway in hardly ever look at me so working with this particular tablet has seen to need to be a better way of communicating 100%.,Very negative,0
I was very impressed with an ISO who was delivered this the laptop program to me the assessment program and I feel like something like this year in the future will be used by everyone so I'm very impressed even though I'm not familiar with it as I explained it to me in a clear and the defining the way so I'm very happy to give this a try and hope that I do it correctly and thank her very much for help and thank you very much for sending it with her.,Very positive,4
The computer was hard because it's easier for the nurse to do it for me,Neutral,2
it's okay,Neutral,2
make thecwords bigger,Neutral,2
The computer was hard because typing andtoo many questions,Neutral,2
The touch screen was hard because it gets stuck,Neutral,2
The touch screen was hard because it gets stuck,Neutral,2
the program is hard because i dont work on computers and at times i m tired and sick.,Negative,1
The computer was hard because It was easy to sign and to draw the pain but my hand is too stiff to do any more so the nurse and my dauggter finished-,Negative,1
the way the questions are asked could be mas claro,Neutral,2
The instructions were hard because some were hard no experiencecwith the computer,Negative,1
The touch screen was hard because gets stuck sometimes,Neutral,2
The computer was hard because too tired,Negative,1
The instructions were hard because some questions were hard to understand,Negative,1
The computer was hard because didn't know how to use this touch screen,Negative,1
good assement; new things i learned about pain,Positive,3
The computer was hard because the touch screen,Neutral,2
The touch screen was hard because its a drag,Negative,1
The touch screen was hard because too sensitive or not sensitive at all,Negative,1
stronger battery and better connection shorten the amount of questions,Neutral,2
the computer is very difficult for me to do because i dont work on tablet.unless my family is there to help.,Negative,1
The computer was hard because i have never used a computer,Neutral,2
its a good program.,Positive,3
The computer was hard because never used a computer,Negative,1
the program would help patients.,Neutral,2
very easy to use,Positive,3
The computer was hard because slow keystroke; moving to next page slow,Negative,1
I feel rushed because the quesion are clear and easy,Negative,1
I feel rushed because quicker to talk to doctor,Negative,1
this is eay to use,Neutral,2
this might be difficult for a hospice patient or someone in pain to assess daily.,Negative,1
The computer was hard because coordination; eyesight,Negative,1
The touch screen was hard because coordination,Neutral,2
Seeing the words was hard because smaller text; zooms too easily,Negative,1
I feel rushed because no i did not,Negative,1
i am not computer savy and may not feel comfortable using this kind of technonlogy to report my pain or discomfort,Negative,1
The touch screen was hard because hard,Neutral,2
no,Negative,1
The computer was hard because to long,Neutral,2
To futher study pain and treatment is good to know how patient feel to better pain control,Positive,3
The computer was hard because never used computer,Negative,1
The touch screen was hard because yes,Neutral,2
no,Negative,1
The computer was hard because too sensitive,Negative,1
The touch screen was hard because doesnt work well,Negative,1
The computer was hard because beccause of thevpain and dont want to be bothered with all of this.,Negative,1
The computer was hard because Not used to computers,Negative,1
Seeing the words was hard because a little small,Neutral,2
The computer was hard because its hard because you never used a computer..,Negative,1
The computer was hard because it would be hard to use,Negative,1
none,Neutral,2
no,Negative,1
more doctors should let there patients know about this program,Neutral,2
The computer was hard because just unfamiliar with the program,Neutral,2
none,Neutral,2
longer to do the program would be a good idea. the reason is my pain pattern may change from week to week so may help if I  keep it more than a week.,Negative,1
The computer was hard because not at all,Negative,1
no comments at this time,Neutral,2
its agoodidea to have.,Neutral,2
I feel rushed because pretty much the same,Negative,1
I enjoyed this way,Positive,3
The computer was hard because touchscreen didnt work well,Negative,1
Seeing the words was hard because a little small,Neutral,2
I feel rushed because it took too long,Negative,1
The instructions were hard because confusing  had to read twice,Neutral,2
I feel rushed because impersonal  no feedback,Negative,1
The computer was hard because in progrm it would lock it and had to go back and redo it,Negative,1
Make it easier to save data.,Neutral,2
The touch screen was hard because screen gets stuck sometime,Negative,1
The computer was hard because the language wasn't always clear,Negative,1
The touch screen was hard because touch screen inconsistent,Negative,1
The touch screen was hard because didn't always work,Negative,1
Seeing the words was hard because sometimes too small,Negative,1
I really enjoyed the videos; everyone should have them.,Positive,3
The computer was hard because nevet used computers,Negative,1
The instructions were hard because hard to read,Negative,1
The computer was hard because i always need assistance; didn't trust my skills,Negative,1
The instructions were hard because don't know; my eye sight isn't good,Negative,1
Seeing the words was hard because i had to have them enlarged,Neutral,2
when  you have pain and dwell on it than you get sick and if you dont than you wont feel it.,Negative,1
The computer was hard because because Im not familiar with the computer,Neutral,2
The instructions were hard because with help from researcher,Neutral,2
Seeing the words was hard because the words could have been bigger,Neutral,2
The computer was hard because i have never used the computer,Neutral,2
The computer was hard because it did not respond at times. ended up starting over,Negative,1
The instructions were hard because some times not clear if related to illness or not,Negative,1
it would be good to ask especific questions; and not just answer the same thing over and over,Neutral,2
The touch screen was hard because gets freezednsometime,Neutral,2
no,Negative,1
no,Negative,1
The computer was hard because need more information about cancer,Neutral,2
The instructions were hard because freezes the screen,Neutral,2
The touch screen was hard because freezes the screen,Neutral,2
I feel rushed because i found it better on the tablet,Negative,1
keep up the good work,Positive,3
The computer was hard because it was harder to use when I wasnt feeling good,Negative,1
too dull; could be brighter,Negative,1
The color could be better if it was ok,Neutral,2
Seeing the words was hard because could be bigger,Negative,1
this is good because I feel like I actually have time.  my doctor doesnt have enough time with me.,Very positive,4
The computer was hard because never worked on computers,Negative,1
The computer was hard because hands are not steady enough. my caretaker has to help me,Negative,1
I feel rushed because too many questions and i m tired and exausted,Negative,1
The computer was hard because I can not seem to focus on the screen use my fingers to type anything I have my Niece to answer this questions for me,Negative,1
The color could be better if I rather look a screen I never used a computer in my life,Negative,1
The touch screen was hard because I have no idea the light to right for me to use,Negative,1
Seeing the words was hard because Nothing was easy about using a computer I know nothing about,Negative,1
I feel rushed because i was able to think about my pain and really assess it.,Negative,1
None,Neutral,2
i was please to participate and the RA was very helpful and pleasent.,Positive,3
none,Neutral,2
its a good program to report the pain and its nature.,Positive,3
none,Neutral,2
i see this is a good program for patients with pain to report their pain to their nurse or a doctor.,Negative,1
I feel rushed because i could think slowly,Negative,1
I feel rushed because more time to relect on what is taking place,Negative,1
maybe add  a section for patient to log in a complete picture of meds and times taking them,Neutral,2
faster internet service;sometimes it slows down and stuck.,Negative,1
Its a good progrm to share your pain info with the doctors or nures. The way it was explained to me by the research assistant was very good.,Positive,3
This way of describing your pain makes you better understand your pain.,Negative,1
none,Neutral,2
the program was able to let me report my pain.,Neutral,2
I feel rushed because i fouhd it about the same,Negative,1
none,Neutral,2
all people can  use computers,Neutral,2
The touch screen was hard because moderately was ok had problems,Negative,1
none,Neutral,2
daily frequencies of reporting daily data was a constant reminder of pain and i dont like to be reminded.,Negative,1
none.,Neutral,2
none,Neutral,2
it was great working with Anna and good program for hospice.,Positive,3
I feel rushed because computer more self paced... less rushed,Very negative,0
I feel rushed because any computer input is difficult or feel pressured,Negative,1
none,Neutral,2
The touch screen was hard because not used to it,Negative,1
the only problem i had was i couldnt tell them how many pills,Negative,1
I feel rushed because Im very comfortable speaking to my nurse about my pain or any medical changes,Negative,1
Great program and Very pleasant staff.,Positive,3
I feel rushed because I didn't feel rushed at all,Negative,1
I feel rushed because you can take all the time youneed,Negative,1
I think is a very easy way to express yourself and also communicate to the doctor your issues about your health. when just an office visit may not be sufficient.,Positive,3
none,Neutral,2
I feel rushed because same,Negative,1
none,Neutral,2
none,Neutral,2
good way for people to reprt their pain.,Positive,3
My grandfather on my dad's side had cancer; by it wasn't an option when filling out the form.,Negative,1
none,Neutral,2
it's a good program you're working with; keep up the good work!,Very positive,4
I feel rushed because i  didn't feel rushed.,Negative,1
It's a good project,Positive,3
i think that is a great program and it for everyone's good,Positive,3
N/A,Neutral,2
Somevofvtge questions should be broken down into two or more questions as a single questions now,Negative,1
I feel rushed because I could take my time using the computer to really think about the way I felt,Negative,1
It is much easier to do to use this computer than it is to have to sit on the phone and wait for the doctor on nurse to call you back,Negative,1
none,Neutral,2
the microphone is a good thing,Positive,3
none,Neutral,2
None,Neutral,2
Keep it going,Neutral,2
None,Neutral,2
I feel rushed because i dont think it was rush by using this tabley,Negative,1
none,Neutral,2
I feel rushed because rather talk,Negative,1
none,Neutral,2
none,Neutral,2
veryhelpful when you are in painthand hard to put the data in.,Negative,1
I feel rushed because same,Negative,1
I feel rushed because i do not feel rushed at all,Negative,1
timing,Neutral,2
none,Neutral,2
I feel rushed because No problem either way,Negative,1
no; i did better than i thought,Negative,1
none,Neutral,2
none,Neutral,2
I feel rushed because I found this easier,Negative,1
I feel rushed because No it was easier explaining my pain through the computer then telling the nurse face to face,Negative,1
I thought using the computer was great,Positive,3
I think that the nurses will get a better idea of what kind of pain in the end by reading my computer rather than listen to me,Negative,1
Do it after the first visit in hospice,Neutral,2
I feel rushed because Sometimes because it needs to be completed daily.,Negative,1
The instructions were hard because some quesruons were hard to answer because options didn't fit,Negative,1
The touch screen was hard because sometimes finger worked; sometimes stylus worked... didnt like having to use both,Neutral,2
always have option available other than "yes" or "no",Neutral,2
not right now,Negative,1
blue,Neutral,2
I feel rushed because I would rather speak to a person.  I would not like to manage my pain in this way.,Negative,1
I feel rushed because because i choose the time when inanswer the question,Negative,1
i liked that you were able to show pain in the front and the back; usually you just show the front// using the stylus is easier than usingbyour finger//,Neutral,2
I feel rushed because this worked for me i didn't haveproblem,Negative,1
shorter questionnaire,Neutral,2
i think this works if you are not in pain and fill up to taking this. i don't think too many older seniors will want to do this study; especially if they don't work on computers.,Negative,1
The touch screen was hard because touch screen was too sensitive,Negative,1
I feel rushed because no comments,Negative,1
i recomend that its a good program to have to patience with yourself and others,Positive,3
The color could be better if blue,Neutral,2
like the idea,Neutral,2
enjoyedthis version of pain,Neutral,2
I'm glad to see people digging into a way to make pain control better,Negative,1
none,Neutral,2
